Meme ID	Literary Author	Caption Text	Humor Type	Themes/Motifs	Date Posted	Source URL	Likes	Comments	Shares
Instagram	Shakespeare 	To be or not to be... 	Satirical	Existential Dilemma	1/1/2024	https://www.instagram.com/p/CM92OmBgUdR/	54	0	0
Instagram	Jane Austen 	A jane Austen's heroine's to do list:  - Reject an unsuitable proposal. - Play the piano fortee. - Take a turn about the room. - Reject an unsuitable proposal	Ironic	Courtship and Marriage	1/5/2024	https://www.instagram.com/p/CUmMyKJvbPN/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==	1989	4	0
Facebook	George Orwell	" Last year, I went on a date with a dude and when I told him I was reading Animal Farm again, he laughed obnoxiously for an entire minute and said I was too old to be reading children's books. I think about that a lot?.. I wonder if he's still an idiot."	Satirical	Individualism vs. Societal Expectations	1/10/2024	https://www.facebook.com/LibertyMeme/posts/pfbid02wV99EMr6a5bLEXkgFv5BBJVEU9d32EPcCaFF149nXznxLFg3UiNL9WkaUSvp782xl	3100	310	590
Instagram	Homer 	You want me to think? The think that killed Socrates? You want me to wear my boyfriends cloths? The thing that killed patroclus	Ironic	Journey	1/15/2024	https://www.instagram.com/p/C_q5xxVoV1t/	9912	21	0
Facebook	J.K. Rowling 	Expecto Patronum!	Parodic	Heroism and Protection	1/20/2024	https://www.facebook.com/photo?fbid=966422945511175&set=a.622795569873916	1603	3	6
Facebook	William Blake 	"He whose face gives no light, shale never become a star."	Philosophical	Self-doubt	1/25/2024	https://www.facebook.com/photo/?fbid=993181149490712&set=a.357133396428827	74		17
Facebook	Emily Dickinson 	"I am out with lanterns, looking for myself."	Philosophical	Self-Discovery	1/30/2024	https://www.facebook.com/photo/?fbid=1004249014401744&set=a.640834597409856	138	6	37
Instagram	Mark Twain 	It's easier to fool people than it is to convince them that they have been fooled.	Critical	Social Critique	2/1/2024	https://www.instagram.com/oilyliveonce/p/DByuB_tNNKq/	57	0	0
Facebook	Earnest Hemingway	"But never think that war, no matter how necessary, nor how justified, is not a crime. Ask the infantry and ask the dead"	Philosophical	War and Morality	2/5/2024	https://www.facebook.com/photo/?fbid=1005108264755502&set=a.383798176886517	2100	157	823
Instagram	Shakespeare	Lady Macbeth: You?ve gotta kill Duncan.? Attached is a cropped/edited group Facebook message. The person labeled Macbeth typed ?????? and the person labeled Lady Macbeth replied ?Do it anyways	Critical	Ambition	2/10/2024	https://www.instagram.com/p/B55f7DeASTI/?hl=en	5178	4	0
Facebook	Frida Kahlo	"You deserve a lover who takes away the lies and brings you hope, coffee, and poetry"	Satirical	Transformation	2/15/2024	https://www.facebook.com/photo/?fbid=1136920731771337&set=a.212065264256893	25000	402	4600
